nflweek,gameDate,otyn,roadTeam,rtTotalScore,rtScore1Q,rtScore2Q,rtScore3Q,rtScore4Q,rtScoreOT,rtFirstDowns,rt3DConv,rt3DAtt,rt4DConv,rt4DAtt,rtTYds,rtRushYds,rtPassYds,rtTO,rtSacks,rtPen,rtPenYds,homeTeam,htTotalScore,htScore1Q,htScore2Q,htScore3Q,htScore4Q,htScoreOT,htFirstDowns,ht3DConv,ht3DAtt,ht4DConv,ht4DAtt,htTYds,htRushYds,htPassYds,htTO,htSacks,htPen,htPenYds
3,2016-09-22,N,HOU,0,0,0,0,0,0,19,6,15,0,3,284,109,175,3,1,6,43,NE,27,10,0,10,7,0,15,4,14,0,0,282,185,97,0,2,3,15
3,2016-09-25,N,ARI,18,0,7,6,5,0,25,5,15,0,1,348,88,260,5,4,8,50,BUF,33,10,7,13,3,0,16,4,13,0,0,297,208,89,1,5,9,75
3,2016-09-25,N,DEN,29,3,13,0,13,0,21,6,12,0,0,355,52,303,1,4,5,41,CIN,17,7,7,0,3,0,20,5,12,0,1,332,143,189,2,2,9,69
3,2016-09-25,N,DET,27,3,7,7,10,0,22,8,14,1,1,418,50,368,1,2,4,86,GB,34,14,17,3,0,0,17,5,10,0,0,324,123,201,0,3,4,45
3,2016-09-25,N,OAK,17,7,10,0,0,0,17,5,13,0,0,368,123,245,1,1,8,58,TEN,10,3,0,7,0,0,19,2,12,0,1,393,181,212,3,1,8,70
3,2016-09-25,Y,CLE,24,0,13,0,11,0,21,4,15,0,0,430,169,261,1,1,13,91,MIA,30,7,3,7,7,6,23,2,10,0,0,426,115,311,3,4,8,67
3,2016-09-25,N,WAS,29,6,10,7,6,0,20,7,16,1,1,403,90,313,1,2,8,70,NYG,27,14,7,3,3,0,28,4,9,0,0,457,120,337,3,2,11,128
3,2016-09-25,N,MIN,22,2,6,8,6,0,13,3,12,0,0,211,58,153,0,8,6,42,CAR,10,10,0,0,0,0,18,6,16,0,2,306,105,201,3,2,10,65
3,2016-09-25,N,BAL,19,7,6,3,3,0,18,3,13,1,1,283,84,199,3,4,8,58,JAX,17,0,7,7,3,0,14,6,16,0,0,216,48,168,3,2,7,75
3,2016-09-25,N,SF,18,0,3,0,15,0,12,4,15,1,1,254,135,119,1,2,4,35,SEA,37,14,10,6,7,0,18,9,14,0,0,418,127,291,2,0,6,50
3,2016-09-25,N,LA,37,10,7,7,13,0,18,6,13,0,0,320,137,183,2,2,8,69,TB,32,6,14,0,12,0,30,8,16,2,2,472,83,389,2,1,9,80
3,2016-09-25,N,SD,22,0,13,6,3,0,17,4,11,0,0,352,37,315,3,2,10,80,IND,26,10,3,7,6,0,24,2,9,1,1,410,93,317,2,2,10,66
3,2016-09-25,N,NYJ,3,0,3,0,0,0,17,7,14,1,2,305,117,188,8,2,3,15,KC,24,7,10,0,7,0,18,7,15,0,1,293,72,221,1,0,5,59
3,2016-09-25,N,PIT,3,0,3,0,0,0,15,4,11,0,2,251,29,222,2,0,7,77,PHI,34,3,10,21,0,0,25,4,10,0,0,426,125,301,0,4,10,99
3,2016-09-25,N,CHI,17,0,3,7,7,0,21,2,10,1,1,390,78,312,2,0,6,45,DAL,31,10,14,0,7,0,25,5,11,1,1,447,199,248,1,1,4,45
3,2016-09-26,N,ATL,45,7,21,10,7,0,26,5,11,2,2,442,217,225,0,2,4,35,NO,32,7,10,8,7,0,32,7,13,1,2,474,115,359,2,2,5,75
4,2016-09-29,N,MIA,7,7,0,0,0,0,8,2,11,0,1,222,62,160,2,1,7,68,CIN,22,10,6,3,3,0,19,3,15,1,1,362,77,285,0,5,6,40
4,2016-10-02,N,IND,27,3,3,0,21,0,23,9,17,0,2,284,94,190,1,3,7,78,JAX,30,7,10,6,7,0,23,3,11,1,1,331,136,195,0,6,11,145
4,2016-10-02,N,CAR,33,0,10,0,23,0,20,7,16,1,1,378,49,329,2,3,6,55,ATL,48,14,3,14,17,0,25,8,13,0,0,571,90,481,1,1,8,77
4,2016-10-02,N,DET,14,0,3,3,8,0,16,4,12,0,0,263,66,197,2,2,10,76,CHI,17,7,0,7,3,0,23,5,13,0,1,408,114,294,0,2,8,55
4,2016-10-02,N,BUF,16,7,6,3,0,0,24,7,15,0,0,378,134,244,0,3,6,60,NE,0,0,0,0,0,0,13,1,12,2,3,277,90,187,1,2,9,74
4,2016-10-02,N,SEA,27,0,14,3,10,0,21,3,10,0,0,354,66,288,0,4,7,71,NYJ,17,3,7,0,7,0,20,7,15,1,1,305,58,247,3,2,7,60
4,2016-10-02,N,CLE,20,0,17,3,0,0,26,8,12,0,1,380,163,217,3,3,7,101,WAS,31,14,3,0,14,0,24,4,8,0,0,301,145,156,1,1,9,75
4,2016-10-02,N,OAK,28,7,7,0,14,0,13,3,12,0,0,261,62,199,1,2,12,93,BAL,27,0,6,6,15,0,25,5,17,1,2,412,130,282,1,0,10,105
4,2016-10-02,N,TEN,20,3,14,3,0,0,16,7,15,0,1,320,124,196,1,1,11,93,HOU,27,14,6,7,0,0,21,5,12,0,1,359,115,244,2,1,6,59
4,2016-10-02,N,DEN,27,7,10,3,7,0,22,3,13,0,0,307,89,218,0,5,9,88,TB,7,7,0,0,0,0,15,5,16,0,1,215,72,143,3,4,9,69
4,2016-10-02,N,LA,17,7,3,0,7,0,12,6,14,0,1,288,41,247,1,3,9,84,ARI,13,0,10,3,0,0,26,6,13,0,0,420,118,302,5,2,6,45
4,2016-10-02,N,NO,35,7,7,7,14,0,21,11,18,1,1,275,83,192,2,3,6,34,SD,34,7,17,0,10,0,21,6,13,0,1,346,38,308,3,2,5,46
4,2016-10-02,N,DAL,24,0,14,7,3,0,26,6,14,0,0,428,194,234,0,1,6,45,SF,17,7,7,3,0,0,14,8,14,0,1,295,106,189,1,2,5,32
4,2016-10-02,N,KC,14,0,0,0,14,0,22,8,17,2,3,357,87,270,2,2,7,40,PIT,43,22,7,7,7,0,18,6,11,0,0,436,149,287,0,4,9,68
4,2016-10-03,N,NYG,10,0,3,0,7,0,18,2,12,0,2,339,78,261,2,0,8,69,MIN,24,7,7,3,7,0,22,8,16,0,0,366,104,262,0,0,6,37
5,2016-10-06,N,ARI,33,0,7,14,12,0,17,5,16,0,0,288,172,116,0,7,7,50,SF,21,0,7,7,7,0,25,4,14,1,1,286,151,135,3,1,4,34
5,2016-10-09,N,NE,33,16,7,7,3,0,24,9,17,0,1,501,98,403,0,2,5,61,CLE,13,7,0,0,6,0,17,5,13,0,1,262,27,235,1,1,5,35
5,2016-10-09,N,PHI,23,0,10,10,3,0,18,5,11,0,0,346,116,230,2,4,14,111,DET,24,14,7,0,3,0,21,3,9,2,2,244,80,164,1,3,2,18
5,2016-10-09,N,CHI,23,3,10,0,10,0,25,2,9,0,1,522,125,397,1,5,10,80,IND,29,3,13,3,10,0,20,3,12,1,1,396,98,298,0,0,9,68
5,2016-10-09,N,TEN,30,7,14,3,6,0,23,5,12,0,1,398,235,163,0,6,5,40,MIA,17,0,14,3,0,0,8,4,11,0,0,200,51,149,2,0,8,83
5,2016-10-09,N,HOU,13,0,6,0,7,0,16,1,13,0,1,214,59,155,1,2,4,15,MIN,31,14,10,0,7,0,22,7,14,0,0,351,96,255,0,4,9,97
5,2016-10-09,N,NYJ,13,3,10,0,0,0,16,2,11,0,1,316,72,244,0,1,4,18,PIT,31,7,7,3,14,0,30,5,10,0,1,436,61,375,1,3,1,10
5,2016-10-09,N,WAS,16,6,0,10,0,0,18,3,12,1,2,310,60,250,2,3,4,46,BAL,10,7,3,0,0,0,18,3,15,1,3,306,118,188,1,1,9,65
5,2016-10-09,N,ATL,23,10,3,7,3,0,19,2,12,2,3,372,122,250,1,6,7,78,DEN,16,0,3,0,13,0,18,4,16,4,4,267,84,183,1,2,8,57
5,2016-10-09,N,CIN,14,0,0,0,14,0,27,5,12,1,1,345,96,249,0,1,6,49,DAL,28,7,14,7,0,0,21,4,8,0,0,402,180,222,1,4,7,45
5,2016-10-09,N,SD,31,0,10,14,7,0,17,2,8,0,1,423,72,351,4,3,4,38,OAK,34,3,6,18,7,0,20,5,14,1,1,389,89,300,1,2,6,36
5,2016-10-09,N,BUF,30,7,9,7,7,0,15,4,12,0,0,305,193,112,0,4,7,60,LA,19,3,10,3,3,0,23,4,12,0,2,345,102,243,3,2,6,40
5,2016-10-09,N,NYG,16,0,6,3,7,0,14,4,13,0,0,221,43,178,1,0,6,51,GB,23,7,10,0,6,0,23,9,19,0,0,406,147,259,2,4,6,57
5,2016-10-10,N,TB,17,3,3,8,3,0,20,6,15,0,0,315,113,202,0,0,5,40,CAR,14,0,0,14,0,0,20,1,8,1,1,414,136,278,4,2,7,60
6,2016-10-13,N,DEN,13,0,3,0,10,0,16,6,15,0,1,304,84,220,2,2,12,103,SD,21,7,3,9,2,0,17,3,13,1,1,265,99,166,2,2,3,20
6,2016-10-16,N,SF,16,3,10,0,3,0,16,3,13,0,2,300,133,167,1,3,6,52,BUF,45,7,10,7,21,0,28,8,13,0,0,491,312,179,2,3,7,71
6,2016-10-16,N,JAX,17,0,0,0,17,0,19,3,11,0,0,317,55,262,2,1,5,50,CHI,16,0,10,3,3,0,22,7,17,0,1,389,92,297,0,3,10,87
6,2016-10-16,N,LA,28,7,7,7,7,0,23,6,9,0,1,387,76,311,1,1,8,62,DET,31,7,7,7,10,0,20,6,11,2,2,348,83,265,0,1,7,62
6,2016-10-16,N,CLE,26,6,7,0,13,0,16,3,14,2,2,341,40,301,0,2,10,57,TEN,28,7,7,7,7,0,18,8,14,0,0,407,137,270,1,6,7,96
