nhlSeason,gameDate,round,roundGameNo,scoredFirst,roadTeam,rtTotalGoals,rtGoals1P,rtGoals2P,rtGoals3P,rtGoals1OT,rtGoals2OT,rtGoals3OT,rtTotalSOG,rtSOG1P,rtSOG2P,rtSOG3P,rtSOG1OT,rtSOG2OT,rtSOG3OT,rtPowerPlays,rtPPConverted,rtPenMins,rtFaceOffsWon,rtHits,rtBlockedShots,homeTeam,htTotalGoals,htGoals1P,htGoals2P,htGoals3P,htGoals1OT,htGoals2OT,htGoals3OT,htTotalSOG,htSOG1P,htSOG2P,htSOG3P,htSOG1OT,htSOG2OT,htSOG3OT,htPowerPlays,htPPConverted,htPenMins,htFaceOffsWon,htHits,htBlockedShots
1617,2017-04-19,1,4,R,WAS,5,4,0,1,0,0,0,27,15,9,3,0,0,0,1,1,8,32,31,22,TOR,4,1,1,2,0,0,0,34,6,9,19,0,0,0,4,1,2,29,49,17
1617,2017-04-19,1,4,R,OTT,1,0,0,1,0,0,0,27,14,5,8,0,0,0,3,0,2,29,30,11,BOS,0,0,0,0,0,0,0,22,12,5,5,0,0,0,1,0,6,25,37,12
1617,2017-04-19,1,4,R,MIN,2,1,1,0,0,0,0,28,11,10,7,0,0,0,2,0,6,31,28,14,STL,0,0,0,0,0,0,0,28,4,12,12,0,0,0,2,0,6,30,34,12
1617,2017-04-19,1,4,R,ANA,3,2,0,1,0,0,0,25,9,9,7,0,0,0,2,0,6,24,15,9,CAL,1,0,1,0,0,0,0,37,12,13,12,0,0,0,3,1,4,33,28,11
1617,2017-04-20,1,5,H,NYR,3,1,1,0,1,0,0,36,9,10,7,10,0,0,2,0,13,34,49,28,MON,2,2,0,0,0,0,0,36,16,10,7,3,0,0,4,1,9,32,51,28
1617,2017-04-20,1,5,H,CBJ,2,0,2,0,0,0,0,51,15,17,19,0,0,0,3,1,8,23,37,10,PIT,5,1,2,2,0,0,0,32,12,11,9,0,0,0,4,2,6,32,18,16
1617,2017-04-20,1,4,H,CHI,1,0,0,1,0,0,0,31,7,13,11,0,0,0,2,1,6,27,13,16,NAS,4,0,1,3,0,0,0,26,11,9,6,0,0,0,3,0,4,28,21,16
1617,2017-04-20,1,5,H,SJ,3,2,1,0,0,0,0,30,16,5,7,2,0,0,1,0,6,28,20,38,EDM,4,1,1,1,1,0,0,48,13,13,8,14,0,0,3,1,2,41,33,14
1617,2017-04-21,1,5,H,TOR,1,0,1,0,0,0,0,25,6,8,11,0,0,0,4,0,10,30,23,16,WAS,2,1,0,0,1,0,0,28,11,4,11,2,0,0,3,1,12,36,34,22
1617,2017-04-21,1,5,H,BOS,3,0,2,0,0,1,0,39,6,6,9,10,8,0,3,0,12,55,56,19,OTT,2,1,1,0,0,0,0,43,10,9,5,13,6,0,5,0,8,47,39,29
1617,2017-04-22,1,5,R,STL,4,2,0,1,1,0,0,27,12,7,5,3,0,0,4,0,14,31,12,22,MIN,3,1,0,2,0,0,0,37,9,13,13,2,0,0,6,2,10,38,30,15
1617,2017-04-22,1,6,R,MON,1,1,0,0,0,0,0,28,11,9,8,0,0,0,3,0,9,28,33,14,NYR,3,0,2,1,0,0,0,23,6,12,5,0,0,0,1,1,13,27,33,27
1617,2017-04-22,1,6,R,EDM,3,0,2,1,0,0,0,21,9,6,6,0,0,0,1,0,6,23,27,26,SJ,1,0,0,1,0,0,0,28,6,12,10,0,0,0,3,0,2,30,26,17
1617,2017-04-23,1,6,H,OTT,3,0,2,0,1,0,0,29,12,8,3,6,0,0,5,2,6,27,32,8,BOS,2,1,0,1,0,0,0,30,6,12,12,0,0,0,2,1,12,34,42,16
1617,2017-04-23,1,6,H,WAS,2,0,0,1,1,0,0,36,10,11,10,5,0,0,2,0,4,22,38,22,TOR,1,0,0,1,0,0,0,38,14,14,9,1,0,0,1,0,6,39,45,20
